id,year,week,postseason,id_home_team,id_away_team,points_home,points_away,completed,conference_game,home_team_id,home_team_full_name,home_team_school_name,home_team_mascot,away_team_id,away_team_full_name,away_team_school_name,away_team_mascot,home_team_ranking,away_team_ranking
96346,2022,10,0,2586,2825,,,1,1,2586,Southwest Baptist Bearcats,Southwest Baptist,Bearcats,2825,Quincy Hawks,Quincy,Hawks,-1.0,-1.0
96224,2022,10,0,2817,3066,,,1,1,2817,Minnesota St-Moorhead Dragon,Minnesota St-Moorhead,Dragon,3066,Concordia-St. Paul Golden Bears,Concordia-St. Paul,Golden Bears,-1.0,-1.0
96558,2022,11,0,83,89,,,1,1,83,DePauw Tigers,DePauw,Tigers,89,Wabash College Little Giants,Wabash College,Little Giants,-1.0,-1.0
96314,2022,10,0,2291,2134,,,1,1,2291,Indiana (PA) Crimson Hawks,Indiana (PA),Crimson Hawks,2134,Clarion Golden Eagles,Clarion,Golden Eagles,-1.0,-1.0
95832,2022,8,0,101,2741,,,1,1,101,Eureka College Red Devils,Eureka College,Red Devils,2741,Wisconsin Lutheran Warriors,Wisconsin Lutheran,Warriors,-1.0,-1.0
85160,2016,10,0,2643,2535,,,0,1,2643,The Citadel Bulldogs,The Citadel,Bulldogs,2535,Samford Bulldogs,Samford,Bulldogs,-1.0,-1.0
96511,2022,11,0,110438,122774,,,1,1,110438,Dean College Bulldogs,Dean College,Bulldogs,122774,Keystone Giants,Keystone,Giants,-1.0,-1.0
96986,2022,13,0,2170,110242,,,1,1,2170,Delta State Statesmen,Delta State,Statesmen,110242,West Florida Argonauts,West Florida,Argonauts,-1.0,-1.0
96554,2022,11,0,2667,2175,,,1,1,2667,Ursinus Bears,Ursinus,Bears,2175,Dickinson Red Devils,Dickinson,Red Devils,-1.0,-1.0
96408,2022,10,0,2508,2486,,,1,1,2508,Puget Sound Loggers,Puget Sound,Loggers,2486,Pacific Lutheran Lutes,Pacific Lutheran,Lutes,-1.0,-1.0
96283,2022,10,0,548,2896,,,1,1,548,LaGrange College Panthers,LaGrange College,Panthers,2896,Southern Virginia Knights,Southern Virginia,Knights,-1.0,-1.0
96607,2022,11,0,2886,2682,,,1,0,2886,Northwood (MI) Timberwolves,Northwood (MI),Timberwolves,2682,Walsh Cavaliers,Walsh,Cavaliers,-1.0,-1.0
96278,2022,10,0,33,112,,,1,1,33,Colby White Mules,Colby,White Mules,112,Tufts Jumbos,Tufts,Jumbos,-1.0,-1.0
96532,2022,11,0,2128,2707,,,1,1,2128,Charleston (WV) Golden Eagles,Charleston (WV),Golden Eagles,2707,WV State Yellow Jackets,WV State,Yellow Jackets,-1.0,-1.0
96231,2022,10,0,2422,216,,,1,1,2422,Muhlenberg Mules,Muhlenberg,Mules,216,Susquehanna Crusaders,Susquehanna,Crusaders,-1.0,-1.0
96591,2022,11,0,146,2644,,,1,1,146,Grove City College Wolverines,Grove City College,Wolverines,2644,Thiel College Tomcats,Thiel College,Tomcats,-1.0,-1.0
96370,2022,10,0,2553,2757,,,1,1,2553,Sewanee Univ. of the South Tigers,Sewanee Univ. of the South,Tigers,2757,Berry College Vikings,Berry College,Vikings,-1.0,-1.0
96378,2022,10,0,2224,2682,,,1,1,2224,Findlay Oilers,Findlay,Oilers,2682,Walsh Cavaliers,Walsh,Cavaliers,-1.0,-1.0
96279,2022,10,0,2398,386,,,1,1,2398,Millsaps Majors,Millsaps,Majors,386,Trinity (TX) Tigers,Trinity (TX),Tigers,-1.0,-1.0
96312,2022,10,0,2758,2371,,,1,1,2758,Howard Payne Yellow Jackets,Howard Payne,Yellow Jackets,2371,Mary Hardin-Baylor Crusaders,Mary Hardin-Baylor,Crusaders,-1.0,-1.0
96573,2022,11,0,174,184,,,1,1,174,Hobart Statesmen,Hobart,Statesmen,184,Rochester Yellow Jackets,Rochester,Yellow Jackets,-1.0,-1.0
96413,2022,10,0,17,29,,,1,1,17,Claremont Stags,Claremont,Stags,29,Redlands Bulldogs,Redlands,Bulldogs,-1.0,-1.0
85162,2016,10,0,2506,2335,,,0,1,2506,Presbyterian College Blue Hose,Presbyterian College,Blue Hose,2335,Liberty Flames,Liberty,Flames,-1.0,-1.0
96423,2022,10,0,437,308,,,1,1,437,Lake Erie College Storm,Lake Erie College,Storm,308,Ashland Eagles,Ashland,Eagles,-1.0,-1.0
96304,2022,10,0,191,188,,,1,1,191,Heidelberg Student Princes,Heidelberg,Student Princes,188,Baldwin-Wallace Yellow Jackets,Baldwin-Wallace,Yellow Jackets,-1.0,-1.0
85205,2016,10,0,2542,2450,,,0,1,2542,Savannah State Tigers,Savannah State,Tigers,2450,Norfolk State Spartans,Norfolk State,Spartans,-1.0,-1.0
96757,2022,11,0,319,200,,,1,1,319,Oklahoma Baptist Bison,Oklahoma Baptist,Bison,200,Southern Nazarene Crimson Storm,Southern Nazarene,Crimson Storm,-1.0,-1.0
96200,2022,10,0,2808,2221,,,1,1,2808,Delaware Valley Aggies,Delaware Valley,Aggies,2221,FDU-Florham Devils,FDU-Florham,Devils,-1.0,-1.0
89912,2019,11,0,2571,2287,,,0,1,2571,South Dakota State Jackrabbits,South Dakota State,Jackrabbits,2287,Illinois State Redbirds,Illinois State,Redbirds,-1.0,-1.0
96736,2022,11,0,2318,411,,,1,1,2318,La Verne Leopards,La Verne,Leopards,411,Chapman Panthers,Chapman,Panthers,-1.0,-1.0
97060,2022,15,0,3071,2371,,,1,0,3071,North Central Cardinals,North Central,Cardinals,2371,Mary Hardin-Baylor Crusaders,Mary Hardin-Baylor,Crusaders,-1.0,-1.0
96323,2022,10,0,65,2286,,,0,1,65,Grinnell Pioneers,Grinnell,Pioneers,2286,Illinois College Blueboys,Illinois College,Blueboys,-1.0,-1.0
96854,2022,12,0,386,2810,,,1,0,386,Trinity (TX) Tigers,Trinity (TX),Tigers,2810,Hardin-Simmons Cowboys,Hardin-Simmons,Cowboys,-1.0,-1.0
96488,2022,11,0,2256,286,,,1,1,2256,Greensboro Pride,Greensboro,Pride,286,NC Wesleyan Battling Bishops,NC Wesleyan,Battling Bishops,-1.0,-1.0
96253,2022,10,0,2583,126086,,,1,0,2583,Southern Connecticut State Owls,Southern Connecticut State,Owls,126086,Post University Postuniv,Post University,Postuniv,-1.0,-1.0
96287,2022,10,0,128,129,,,1,1,128,Northern Michigan Wildcats,Northern Michigan,Wildcats,129,Saginaw Valley Cardinals,Saginaw Valley,Cardinals,-1.0,-1.0
89921,2019,11,0,2535,236,,,0,1,2535,Samford Bulldogs,Samford,Bulldogs,236,Chattanooga Mocs,Chattanooga,Mocs,-1.0,-1.0
96673,2022,11,0,15,293,,,1,1,15,Anna Maria College Amcats,Anna Maria College,Amcats,293,Castleton State College Spartans,Castleton State College,Spartans,-1.0,-1.0
85157,2016,10,0,2504,2016,,,0,1,2504,Prairie View Panthers,Prairie View,Panthers,2016,Alcorn State Braves,Alcorn State,Braves,-1.0,-1.0
96619,2022,11,0,2702,452,,,1,1,2702,Western New England Golden Bears,Western New England,Golden Bears,452,Endicott College Gulls,Endicott College,Gulls,-1.0,-1.0
89915,2019,11,0,2640,2011,,,0,1,2640,Texas Southern Tigers,Texas Southern,Tigers,2011,Alabama State Hornets,Alabama State,Hornets,-1.0,-1.0
